Bandit,Reward,Algorithm
3,4.522374405152835,Epsilon-Greedy
3,3.435183013774511,Epsilon-Greedy
3,4.406058869393149,Epsilon-Greedy
3,4.461261060515564,Epsilon-Greedy
3,4.301869000738178,Epsilon-Greedy
3,5.305733514570548,Epsilon-Greedy
3,4.558365769265851,Epsilon-Greedy
3,2.08652964628867,Epsilon-Greedy
3,3.3001417250663123,Epsilon-Greedy
3,3.802330014325753,Epsilon-Greedy
3,3.0373437536094543,Epsilon-Greedy
3,5.014639374192145,Epsilon-Greedy
3,4.960653094985108,Epsilon-Greedy
3,2.805466997133806,Epsilon-Greedy
3,3.0198203941002277,Epsilon-Greedy
3,3.476101321979581,Epsilon-Greedy
3,3.807639933301959,Epsilon-Greedy
3,4.823182185144804,Epsilon-Greedy
3,3.3226401733948676,Epsilon-Greedy
3,1.4026423763889597,Epsilon-Greedy
3,4.263342657347923,Epsilon-Greedy
3,2.912772242390023,Epsilon-Greedy
3,2.186693731397683,Epsilon-Greedy
3,4.0894978574193175,Epsilon-Greedy
3,3.060217502210569,Epsilon-Greedy
3,3.1182689936413994,Epsilon-Greedy
3,4.0513544511253095,Epsilon-Greedy
3,2.3390234196897337,Epsilon-Greedy
3,4.28188231584068,Epsilon-Greedy
3,5.296653901744396,Epsilon-Greedy
3,4.088017137638654,Epsilon-Greedy
3,4.048421171794859,Epsilon-Greedy
3,5.104607167114785,Epsilon-Greedy
3,4.523871636996177,Epsilon-Greedy
3,3.0226654311062844,Epsilon-Greedy
3,3.3284519497436538,Epsilon-Greedy
3,4.055954226651604,Epsilon-Greedy
3,3.1552731556856437,Epsilon-Greedy
3,4.893177641926255,Epsilon-Greedy
3,4.193914781695925,Epsilon-Greedy
3,6.768266898125711,Epsilon-Greedy
3,4.054477879969456,Epsilon-Greedy
3,4.070048421142811,Epsilon-Greedy
3,3.6789573875815993,Epsilon-Greedy
3,3.713883030741111,Epsilon-Greedy
3,2.5986455411512877,Epsilon-Greedy
3,4.733662052678505,Epsilon-Greedy
3,4.52399290236088,Epsilon-Greedy
